Indicator,Values,State,LGA,Months,Year
Penta 3 given,11450,Osun,State level data,Aug,2017
Penta 3 given,11658,Osun,State level data,Sep,2017
Penta 3 given,11754,Osun,State level data,Feb,2017
Penta 3 given,13004,Osun,State level data,Mar,2017
Penta 3 given,16931,Osun,State level data,Jan,2017
Penta 3 given,11653,Osun,State level data,Jun,2017
Penta 3 given,12103,Osun,State level data,Jul,2017
Penta 3 given,10759,Osun,State level data,Apr,2017
Penta 3 given,13016,Osun,State level data,May,2017
Penta 3 given,10921,Plateau,State level data,Mar,2017
Penta 3 given,8822,Plateau,State level data,Feb,2017
Penta 3 given,9019,Plateau,State level data,Jan,2017
Penta 3 given,11780,Plateau,State level data,Sep,2017
Penta 3 given,11620,Plateau,State level data,Aug,2017
Penta 3 given,12336,Plateau,State level data,Jul,2017
Penta 3 given,10262,Plateau,State level data,Jun,2017
Penta 3 given,9282,Plateau,State level data,May,2017
Penta 3 given,10605,Plateau,State level data,Apr,2017
Penta 3 given,10874,Plateau,State level data,Dec,2017
Penta 3 given,11122,Plateau,State level data,Nov,2017
Penta 3 given,12869,Plateau,State level data,Oct,2017
Penta 3 given,11838,Osun,State level data,Nov,2017
Penta 3 given,10913,Osun,State level data,Dec,2017
Penta 3 given,11657,Osun,State level data,Oct,2017
Penta 3 given,22493,Oyo,State level data,Nov,2017
Penta 3 given,18247,Oyo,State level data,Dec,2017
Penta 3 given,23093,Oyo,State level data,Oct,2017
Penta 3 given,25289,Oyo,State level data,Aug,2017
Penta 3 given,21477,Oyo,State level data,Sep,2017
Penta 3 given,20197,Oyo,State level data,Jun,2017
Penta 3 given,22542,Oyo,State level data,Jul,2017
Penta 3 given,18992,Oyo,State level data,Apr,2017
Penta 3 given,24868,Oyo,State level data,May,2017
Penta 3 given,21535,Oyo,State level data,Feb,2017
Penta 3 given,22076,Oyo,State level data,Mar,2017
Penta 3 given,22779,Oyo,State level data,Jan,2017
Penta 3 given,28196,Lagos,State level data,Dec,2017
Penta 3 given,43097,Lagos,State level data,Nov,2017
Penta 3 given,36323,Lagos,State level data,Oct,2017
Penta 3 given,31415,Lagos,State level data,Jan,2017
Penta 3 given,29273,Lagos,State level data,Mar,2017
Penta 3 given,27375,Lagos,State level data,Feb,2017
Penta 3 given,36101,Lagos,State level data,Sep,2017
Penta 3 given,42162,Lagos,State level data,Aug,2017
Penta 3 given,29562,Lagos,State level data,May,2017
Penta 3 given,23929,Lagos,State level data,Apr,2017
Penta 3 given,40965,Lagos,State level data,Jul,2017
Penta 3 given,32388,Lagos,State level data,Jun,2017
Penta 3 given,13821,Adamawa,State level data,Dec,2017
Penta 3 given,15996,Adamawa,State level data,Oct,2017
Penta 3 given,16507,Adamawa,State level data,Nov,2017
Penta 3 given,15770,Adamawa,State level data,Sep,2017
Penta 3 given,16618,Adamawa,State level data,Jul,2017
Penta 3 given,16133,Adamawa,State level data,Aug,2017
Penta 3 given,16063,Adamawa,State level data,May,2017
Penta 3 given,16057,Adamawa,State level data,Jun,2017
Penta 3 given,16654,Adamawa,State level data,Mar,2017
Penta 3 given,15130,Adamawa,State level data,Apr,2017
Penta 3 given,16948,Adamawa,State level data,Jan,2017
Penta 3 given,19737,Adamawa,State level data,Feb,2017
Penta 3 given,18049,Imo,State level data,Mar,2017
Penta 3 given,15418,Imo,State level data,Apr,2017
Penta 3 given,15648,Imo,State level data,Jan,2017
Penta 3 given,15600,Imo,State level data,Feb,2017
Penta 3 given,18086,Imo,State level data,Jul,2017
Penta 3 given,17846,Imo,State level data,Aug,2017
Penta 3 given,17521,Imo,State level data,May,2017
Penta 3 given,18058,Imo,State level data,Jun,2017
Penta 3 given,14618,Imo,State level data,Sep,2017
Penta 3 given,14443,Benue,State level data,Dec,2017
Penta 3 given,12714,Benue,State level data,Oct,2017
Penta 3 given,13774,Benue,State level data,Nov,2017
Penta 3 given,10732,Benue,State level data,Sep,2017
Penta 3 given,15559,Benue,State level data,Jul,2017
Penta 3 given,13382,Benue,State level data,Aug,2017
