Indicator,Values,State,LGA,Months,Year
Penta 2 given,5235,Enugu,State level data,Jan,2017
Penta 2 given,5978,Enugu,State level data,Feb,2017
Penta 2 given,7435,Enugu,State level data,May,2017
Penta 2 given,8794,Enugu,State level data,Jun,2017
Penta 2 given,5869,Enugu,State level data,Mar,2017
Penta 2 given,6824,Enugu,State level data,Apr,2017
Penta 2 given,8762,Enugu,State level data,Sep,2017
Penta 2 given,8935,Enugu,State level data,Jul,2017
Penta 2 given,9184,Enugu,State level data,Aug,2017
Penta 2 given,11236,Benue,State level data,May,2017
Penta 2 given,10317,Benue,State level data,Apr,2017
Penta 2 given,10294,Benue,State level data,Mar,2017
Penta 2 given,7780,Benue,State level data,Feb,2017
Penta 2 given,10697,Benue,State level data,Jan,2017
Penta 2 given,11884,Benue,State level data,Dec,2017
Penta 2 given,12677,Benue,State level data,Nov,2017
Penta 2 given,10913,Benue,State level data,Oct,2017
Penta 2 given,9520,Benue,State level data,Sep,2017
Penta 2 given,12248,Benue,State level data,Aug,2017
Penta 2 given,14000,Benue,State level data,Jul,2017
Penta 2 given,13107,Benue,State level data,Jun,2017
Penta 2 given,7876,Enugu,State level data,Dec,2017
Penta 2 given,8289,Enugu,State level data,Oct,2017
Penta 2 given,8036,Enugu,State level data,Nov,2017
Penta 2 given,37791,Kano,State level data,Sep,2017
Penta 2 given,40644,Kano,State level data,Apr,2017
Penta 2 given,46233,Kano,State level data,Mar,2017
Penta 2 given,42182,Kano,State level data,Feb,2017
Penta 2 given,44176,Kano,State level data,Jan,2017
Penta 2 given,40800,Kano,State level data,Aug,2017
Penta 2 given,38904,Kano,State level data,Jul,2017
Penta 2 given,38002,Kano,State level data,Jun,2017
Penta 2 given,44306,Kano,State level data,May,2017
Penta 2 given,38990,Kano,State level data,Dec,2017
Penta 2 given,40996,Kano,State level data,Nov,2017
Penta 2 given,40042,Kano,State level data,Oct,2017
Penta 2 given,13510,Anambra,State level data,Mar,2017
Penta 2 given,13188,Anambra,State level data,Apr,2017
Penta 2 given,13151,Anambra,State level data,Jan,2017
Penta 2 given,13120,Anambra,State level data,Feb,2017
Penta 2 given,13767,Anambra,State level data,Sep,2017
Penta 2 given,14706,Anambra,State level data,Jul,2017
Penta 2 given,14454,Anambra,State level data,Aug,2017
Penta 2 given,14073,Anambra,State level data,May,2017
Penta 2 given,14564,Anambra,State level data,Jun,2017
Penta 2 given,13105,Anambra,State level data,Dec,2017
Penta 2 given,14213,Anambra,State level data,Oct,2017
Penta 2 given,13534,Anambra,State level data,Nov,2017
Penta 2 given,13927,Ogun,State level data,Mar,2017
Penta 2 given,11395,Ogun,State level data,Apr,2017
Penta 2 given,12424,Ogun,State level data,Jan,2017
Penta 2 given,12765,Ogun,State level data,Feb,2017
Penta 2 given,12335,Ogun,State level data,Sep,2017
Penta 2 given,14961,Ogun,State level data,Jul,2017
Penta 2 given,13747,Ogun,State level data,Aug,2017
Penta 2 given,11970,Ogun,State level data,May,2017
Penta 2 given,12468,Ogun,State level data,Jun,2017
Penta 2 given,13496,Ogun,State level data,Dec,2017
Penta 2 given,14031,Ogun,State level data,Oct,2017
Penta 2 given,15593,Ogun,State level data,Nov,2017
Penta 2 given,16887,Rivers,State level data,Sep,2017
Penta 2 given,21767,Rivers,State level data,Aug,2017
Penta 2 given,18017,Rivers,State level data,Jan,2017
Penta 2 given,17367,Rivers,State level data,Mar,2017
Penta 2 given,16918,Rivers,State level data,Feb,2017
Penta 2 given,19437,Rivers,State level data,May,2017
Penta 2 given,16271,Rivers,State level data,Apr,2017
Penta 2 given,18898,Rivers,State level data,Jul,2017
Penta 2 given,17369,Rivers,State level data,Jun,2017
Penta 2 given,17196,Rivers,State level data,Oct,2017
Penta 2 given,14745,Rivers,State level data,Dec,2017
Penta 2 given,19025,Rivers,State level data,Nov,2017
Penta 2 given,9005,Gombe,State level data,Sep,2017
Penta 2 given,9928,Gombe,State level data,Aug,2017
Penta 2 given,10127,Gombe,State level data,Jan,2017
Penta 2 given,8244,Gombe,State level data,Mar,2017
Penta 2 given,8704,Gombe,State level data,Feb,2017
Penta 2 given,10274,Gombe,State level data,May,2017
Penta 2 given,7684,Gombe,State level data,Apr,2017
Penta 2 given,12098,Gombe,State level data,Jul,2017
Penta 2 given,10196,Gombe,State level data,Jun,2017
Penta 2 given,9671,Gombe,State level data,Oct,2017
Penta 2 given,8313,Gombe,State level data,Dec,2017
Penta 2 given,9532,Gombe,State level data,Nov,2017
Penta 2 given,12174,Kogi,State level data,Sep,2017
Penta 2 given,12154,Kogi,State level data,Aug,2017
Penta 2 given,25054,Lagos,State level data,Dec,2017
Penta 2 given,12486,Kogi,State level data,May,2017
Penta 2 given,10010,Kogi,State level data,Apr,2017
Penta 2 given,13865,Kogi,State level data,Jul,2017
Penta 2 given,31348,Lagos,State level data,Oct,2017
Penta 2 given,11955,Kogi,State level data,Jun,2017
Penta 2 given,35731,Lagos,State level data,Nov,2017
Penta 2 given,14358,Kogi,State level data,Jan,2017
Penta 2 given,10323,Kogi,State level data,Mar,2017
Penta 2 given,10016,Kogi,State level data,Feb,2017
Penta 2 given,15583,Adamawa,State level data,Jan,2017
Penta 2 given,14354,Adamawa,State level data,Feb,2017
Penta 2 given,14778,Adamawa,State level data,Mar,2017
Penta 2 given,11822,Kogi,State level data,Dec,2017
Penta 2 given,15968,Kogi,State level data,Nov,2017
Penta 2 given,12435,Kogi,State level data,Oct,2017
Penta 2 given,14839,Adamawa,State level data,Nov,2017
Penta 2 given,12718,Adamawa,State level data,Dec,2017
Penta 2 given,14349,Adamawa,State level data,Oct,2017
Penta 2 given,14762,Adamawa,State level data,Aug,2017
Penta 2 given,13666,Adamawa,State level data,Sep,2017
Penta 2 given,13626,Adamawa,State level data,Apr,2017
Penta 2 given,14410,Adamawa,State level data,May,2017
Penta 2 given,14331,Adamawa,State level data,Jun,2017
Penta 2 given,14798,Adamawa,State level data,Jul,2017
Penta 2 given,26651,Lagos,State level data,May,2017
Penta 2 given,31818,Lagos,State level data,Jun,2017
Penta 2 given,24445,Lagos,State level data,Mar,2017
Penta 2 given,20318,Lagos,State level data,Apr,2017
Penta 2 given,30960,Lagos,State level data,Sep,2017
Penta 2 given,37587,Lagos,State level data,Jul,2017
Penta 2 given,38913,Lagos,State level data,Aug,2017
Penta 2 given,28220,Lagos,State level data,Jan,2017
Penta 2 given,23163,Lagos,State level data,Feb,2017
Penta 2 given,8627,Taraba,State level data,Feb,2017
Penta 2 given,9179,Taraba,State level data,Mar,2017
Penta 2 given,9070,Taraba,State level data,Apr,2017
Penta 2 given,9463,Taraba,State level data,May,2017
Penta 2 given,8363,Taraba,State level data,Jan,2017
Penta 2 given,8740,Taraba,State level data,Jun,2017
